Source,Destination,lat1,lon1,lat2,lon2
Bahamas,United States,25.03428,-77.39628,37.09024,-95.712891
Bahamas,United States,25.03428,-77.39628,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,Bahamas,37.09024,-95.712891,25.03428,-77.39628
United States,Bahamas,37.09024,-95.712891,25.03428,-77.39628
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,Bahamas,37.09024,-95.712891,25.03428,-77.39628
United States,Bahamas,37.09024,-95.712891,25.03428,-77.39628
United States,Bahamas,37.09024,-95.712891,25.03428,-77.39628
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,Bahamas,37.09024,-95.712891,25.03428,-77.39628
United States,Bahamas,37.09024,-95.712891,25.03428,-77.39628
United States,United States,37.09024,-95.712891,37.09024,-95.712891
Bahamas,United States,25.03428,-77.39628,37.09024,-95.712891
Bahamas,United States,25.03428,-77.39628,37.09024,-95.712891
Bahamas,Bahamas,25.03428,-77.39628,25.03428,-77.39628
Bahamas,United States,25.03428,-77.39628,37.09024,-95.712891
